id,name,short_name,description,family_tags,function_tags,activation_tags,spatial_tags,profession_affinity_tags,world_tags,shape_type,shape_width,shape_height,shape_cells,rotatable,rarity,source_tags,base_values,requirements,effects,ui_keywords,debug_notes
azure_edge,Azure Edge,Azure Edge,A directional blade that rewards clean alignment.,weapon,"engine|burst",requires_direction,"rotatable|layout_sensitive",cultivator_affinity,xianxia_origin,rectangle,1,2,,true,common,"regular_reward|shop","power=4","required_direction=true","deal_damage/front_enemy/4/timed_trigger/requires_direction","direction|blade|alignment",Baseline Cultivator weapon.
spirit_talisman_strip,Spirit Talisman Strip,Talisman Strip,A support talisman that strengthens valid adjacent structure.,talisman,support,"requires_adjacent|on_support",adjacency_core,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","support_value=2","adjacent_tags=weapon|furnace|relic","grant_support/adjacent_valid_item/2/continuous/requires_adjacent","support|adjacent|talisman",Simple adjacent support.
lesser_spirit_stone,Lesser Spirit Stone,Spirit Stone,A compact spiritual energy source.,spirit_stone,energy_source,start_of_battle,,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","energy_value=2",,"grant_energy/linked_allies/2/start_of_battle","energy|spirit|source",Baseline xianxia energy provider.
copper_furnace,Copper Furnace,Furnace,A large setup engine that rewards surrounding support.,furnace,"setup|support","requires_adjacent|timed_trigger","occupies_large_space|layout_sensitive",cultivator_affinity,xianxia_origin,rectangle,2,2,,false,uncommon,"shop|elite_reward","support_value=3","adjacent_tags=talisman|spirit_stone","grant_support/adjacent_valid_item/3/continuous/requires_adjacent","setup|furnace|surround",Large-space Cultivator payoff anchor.
jade_guard_seal,Jade Guard Seal,Guard Seal,A defensive seal that shields nearby valid structure.,"talisman|defense",defense_layer,requires_adjacent,,cultivator_affinity,xianxia_origin,rectangle,1,1,,false,common,"regular_reward|shop","defense_value=3","adjacent_tags=weapon|relic|furnace","grant_shield/adjacent_valid_item/3/start_of_battle/requires_adjacent","shield|seal|adjacent",Flexible Cultivator defense tool.
meridian_needle,Meridian Needle,Needle,A precision tool that converts clean energy into linear payoff.,"weapon|utility",converter,"requires_energy|on_hit",line_based,cultivator_affinity,xianxia_origin,rectangle,1,2,,true,uncommon,elite_reward,"power=2|energy_value=1","required_energy=1","convert_value/self/2/on_hit/requires_energy","precision|line|energy",Converts good routing into payoff.
five_element_compass,Five-Element Compass,Compass,A directional relic that anchors formation-style support.,relic,"support|control",requires_direction,rotatable,cultivator_affinity,xianxia_origin,rectangle,2,2,,true,rare,"elite_reward|boss_faceup","support_value=3","required_direction=true|required_special_cell_state=formation_cell","grant_support/directionally_aligned_allies/3/continuous/requires_direction","formation|direction|relic",High-identity Cultivator relic.
golden_core_fragment,Golden Core Fragment,Core Fragment,A spiritual relic that bursts when a complete cycle is sustained.,relic,"burst|setup","requires_energy|on_cycle_end",layout_sensitive,cultivator_affinity,xianxia_origin,custom,2,2,"0:0|1:0|0:1",true,boss,boss_faceup,"power=6","required_energy=2|required_profession_state=clean_alignment","deal_damage/all_enemies/6/on_cycle_end/clean_alignment","burst|cycle|core",Boss-tier Cultivator payoff.
ember_wand,Ember Wand,Ember Wand,A charged wand that converts preparation into direct magical damage.,"focus|spell_tool","engine|burst",requires_charge,rotatable,mage_affinity,arcane_origin,rectangle,1,2,,true,common,"regular_reward|shop","power=4|charge_value=1","required_charge=1","deal_damage/front_enemy/4/timed_trigger/requires_charge","charge|spell|wand",Baseline Mage engine.
echo_sigil,Echo Sigil,Echo Sigil,A sigil that amplifies nearby spell structure.,spell_tool,"support|setup","requires_adjacent|on_support",adjacency_core,mage_affinity,arcane_origin,rectangle,1,1,,false,common,"regular_reward|shop","support_value=2","adjacent_tags=focus|spell_tool|relic","grant_support/adjacent_valid_item/2/continuous/requires_adjacent","sigil|support|spell",Basic Mage support.
mana_prism,Mana Prism,Prism,A compact magical energy source.,focus,energy_source,start_of_battle,,mage_affinity,arcane_origin,rectangle,1,1,,false,common,"regular_reward|shop","energy_value=2",,"grant_energy/linked_allies/2/start_of_battle","mana|energy|prism",Baseline Mage energy item.
delayed_glyph,Delayed Glyph,Glyph,A setup glyph that stores magical payoff for later release.,spell_tool,setup,"requires_charge|timed_trigger",layout_sensitive,mage_affinity,arcane_origin,rectangle,2,1,,true,uncommon,"shop|elite_reward",charge_value=2,required_charge=1,retain_charge/self/2/timed_trigger/requires_charge,"glyph|delay|setup",Preparation-focused Mage piece.
mirror_ward,Mirror Ward,Ward,A magical ward that converts charge into defense.,"spell_tool|defense",defense_layer,requires_charge,,mage_affinity,arcane_origin,rectangle,1,1,,false,common,"regular_reward|shop","defense_value=3|charge_value=1",required_charge=1,grant_shield/self_or_adjacent/3/start_of_battle/requires_charge,"ward|shield|charge",Mage defense baseline.
arc_flash_orb,Arc Flash Orb,Flash Orb,A burst orb that rewards successful magical sequencing.,focus,burst,"requires_chain|timed_trigger",rotatable,mage_affinity,arcane_origin,rectangle,1,2,,true,uncommon,elite_reward,power=5,required_profession_state=spell_sequence_ready,deal_damage/front_enemy/5/timed_trigger/spell_sequence_ready,"burst|sequence|orb",Mage sequence payoff.
rune_lattice,Rune Lattice,Lattice,A magical structure piece that turns sequencing into broad support.,relic,"support|converter",requires_chain,layout_sensitive,mage_affinity,arcane_origin,rectangle,2,2,,false,rare,"elite_reward|boss_faceup",support_value=3,"required_profession_state=spell_sequence_ready|required_special_cell_state=arcane_anchor","grant_support/all_spell_items/3/continuous/spell_sequence_ready","rune|support|sequence",Mage structure amplifier.
astral_archive_page,Astral Archive Page,Archive Page,A high-value relic that preserves magical setup across cycles.,relic,"setup|economy",on_cycle_end,layout_sensitive,mage_affinity,arcane_origin,custom,2,2,"0:0|1:0|1:1",true,boss,boss_faceup,"charge_value=2|power=2",required_special_cell_state=arcane_anchor,retain_charge/all_spell_items/1/on_cycle_end,"astral|archive|cycle",Boss-tier Mage setup relic.
logic_core,Logic Core,Logic Core,A foundational processor that rewards valid links.,processor,engine,requires_link,,ai_affinity,synthetic_origin,rectangle,2,1,,true,common,"regular_reward|shop",power=4,required_links=1,deal_damage/front_enemy/4/timed_trigger/requires_link,"logic|processor|link",Baseline AI engine.
relay_node,Relay Node,Relay,A linking support node for structured machine builds.,logic_relay,"support|energy_link","requires_link|on_support",line_based,ai_affinity,synthetic_origin,rectangle,1,2,,true,common,"regular_reward|shop",support_value=2,required_links=1,improve_link/linked_allies/1/continuous/requires_link,"relay|link|support",Basic AI routing support.
micro_battery,Micro Battery,Battery,A compact synthetic energy module.,"processor|utility",energy_source,start_of_battle,,ai_affinity,synthetic_origin,rectangle,1,1,,false,common,"regular_reward|shop",energy_value=2,,grant_energy/linked_allies/2/start_of_battle,"battery|energy|module",Baseline AI energy source.
drone_shell,Drone Shell,Drone Shell,A deployment module that rewards linked setup.,drone_module,"setup|burst","requires_link|timed_trigger",rotatable,ai_affinity,synthetic_origin,rectangle,2,1,,true,uncommon,"shop|elite_reward",power=4,required_links=1,deal_damage/random_enemy/4/timed_trigger/requires_link,"drone|deploy|link",AI delayed payoff piece.
barrier_grid,Barrier Grid,Barrier Grid,A structural defense matrix for linked systems.,"logic_relay|defense",defense_layer,requires_link,line_based,ai_affinity,synthetic_origin,rectangle,2,2,,false,common,"regular_reward|shop",defense_value=4,required_links=1,grant_shield/linked_allies/4/start_of_battle/requires_link,"barrier|grid|defense",AI defensive structure.
error_filter,Error Filter,Filter,A recovery utility that softens failure spikes in structured builds.,"processor|utility","recovery|converter","on_destroy|on_cycle_end",,ai_affinity,synthetic_origin,rectangle,1,1,,false,uncommon,elite_reward,defense_value=1,,apply_state/self_build/1/on_destroy,"recovery|failure|filter",AI anti-fail utility.
optimization_engine,Optimization Engine,Optimizer,A line-based relic that rewards complete logic chains.,"processor|relic","support|burst",on_cycle_end,"line_based|layout_sensitive",ai_affinity,synthetic_origin,custom,3,1,"0:0|1:0|2:0",true,rare,"elite_reward|boss_faceup","power=5|support_value=2",required_profession_state=full_logic_chain,deal_damage/all_enemies/5/on_cycle_end/full_logic_chain,"optimize|logic|cycle",AI chain payoff relic.
predictive_kernel,Predictive Kernel,Kernel,A high-identity core that stabilizes machine logic payoff.,relic,"engine|control","requires_link|timed_trigger",layout_sensitive,ai_affinity,synthetic_origin,custom,2,2,"0:0|1:0|1:1",true,boss,boss_faceup,power=6,"required_profession_state=stable_cycle|required_special_cell_state=processing_zone",deal_damage/highest_threat_enemy/6/timed_trigger/stable_cycle,"kernel|predictive|stability",Boss-tier AI center-piece.
